rank_chosen,cpu,benchmark,parallel_cpus,cycle_count,wall_time_s
4,boom21-2large,vvadd,1,380419,57.57
4,boom21-2small,qsort,16,1292019,115.76
4,boom21-2small,qsort,16,1292019,115.04
4,boom21-2small,qsort,16,1292019,114.51
4,boom21-2small,qsort,16,1292019,117.51
4,boom21-2small,qsort,16,1292019,116.29
4,boom21-2small,qsort,16,1292019,117.09
4,boom21-2small,qsort,16,1292019,113.33
4,boom21-2small,qsort,16,1292019,117.52
4,boom21-2small,qsort,16,1292019,114.06
4,boom21-2small,qsort,16,1292019,118.96
4,boom21-2small,qsort,16,1292019,115.6
4,boom21-2small,qsort,16,1292019,119.12
4,boom21-2small,qsort,16,1292019,113.81
4,boom21-2small,qsort,16,1292019,115.46
4,boom21-2small,qsort,16,1292019,131.21
4,boom21-2small,qsort,16,1292019,114.43
4,boom21-2small,qsort,1,1292019,100.09
4,boom21-2small,vvadd,16,435655,29.23
4,boom21-2small,vvadd,16,435655,28.19
4,boom21-2small,vvadd,16,435655,28.84
4,boom21-2small,vvadd,16,435655,28.44
4,boom21-2small,vvadd,16,435655,29.74
4,boom21-2small,vvadd,16,435655,28.7
4,boom21-2small,vvadd,16,435655,28.74
4,boom21-2small,vvadd,16,435655,29.33
4,boom21-2small,vvadd,16,435655,28.55
4,boom21-2small,vvadd,16,435655,33.68
4,boom21-2small,vvadd,16,435655,28.36
4,boom21-2small,vvadd,16,435655,29.73
4,boom21-2small,vvadd,16,435655,29.06
4,boom21-2small,vvadd,16,435655,28.58
4,boom21-2small,vvadd,16,435655,28.6
4,boom21-2small,vvadd,16,435655,28.79
4,boom21-2small,vvadd,1,435655,24.77
4,boom21-large,qsort,16,1035679,199.61
4,boom21-large,qsort,16,1035679,198.52
4,boom21-large,qsort,16,1035679,189.19
4,boom21-large,qsort,16,1035679,195.84
4,boom21-large,qsort,16,1035679,202.8
4,boom21-large,qsort,16,1035679,222.79
4,boom21-large,qsort,16,1035679,197.87
4,boom21-large,qsort,16,1035679,185.54
4,boom21-large,qsort,16,1035679,190.22
4,boom21-large,qsort,16,1035679,253.33
4,boom21-large,qsort,16,1035679,195.56
4,boom21-large,qsort,16,1035679,197.88
4,boom21-large,qsort,16,1035679,199.49
4,boom21-large,qsort,16,1035679,186.19
4,boom21-large,qsort,16,1035679,192.47
4,boom21-large,qsort,16,1035679,195.23
4,boom21-large,qsort,1,1035679,118.53
4,boom21-large,vvadd,16,377579,46.27
4,boom21-large,vvadd,16,377579,45.82
4,boom21-large,vvadd,16,377579,46.37
4,boom21-large,vvadd,16,377579,46.73
4,boom21-large,vvadd,16,377579,46.76
4,boom21-large,vvadd,16,377579,46.05
