rank_chosen,cpu,benchmark,cycle_count,wall_time_s
1,boom21-2small,memcpy,5477091,638.01
1,boom21-2small,memcpy,5477091,682.6
1,boom21-2small,memcpy,5477091,685.65
1,boom21-2small,memcpy,5477091,661.81
1,boom21-2small,memcpy,5477091,493.59
1,boom21-2small,memcpy,5477091,527.02
1,boom21-2small,memcpy,5477091,512.49
1,boom21-2small,memcpy,5477091,521.88
1,boom21-2small,memcpy,5477091,515.87
1,boom21-2small,memcpy,5477091,522.35
1,boom21-2small,memcpy,5477091,506.18
1,boom21-2small,memcpy,5477091,515.85
1,boom21-2small,memcpy,5477091,550.7
1,boom21-2small,memcpy,5477091,515.9
1,boom21-2small,memcpy,5477091,517.04
1,boom21-2small,memcpy,5477091,550.87
1,boom21-2small,memcpy,5477091,544.33
1,boom21-2small,memcpy,5477091,554.91
1,boom21-2small,memcpy,5477091,546.34
1,boom21-2small,qsort,1292019,112.65
1,boom21-2small,qsort,1292019,113.53
1,boom21-2small,qsort,1292019,113.56
1,boom21-2small,qsort,1292019,114.79
1,boom21-2small,qsort,1292019,120.7
1,boom21-2small,qsort,1292019,116.51
1,boom21-2small,qsort,1292019,114.69
1,boom21-2small,qsort,1292019,111.55
1,boom21-2small,qsort,1292019,110.73
1,boom21-2small,qsort,1292019,114.33
1,boom21-2small,qsort,1292019,115.06
1,boom21-2small,qsort,1292019,111.01
1,boom21-2small,qsort,1292019,118.97
1,boom21-2small,qsort,1292019,143.58
1,boom21-2small,qsort,1292019,118.81
1,boom21-2small,qsort,1292019,127.05
1,boom21-2small,qsort,1292019,123.13
1,boom21-2small,qsort,1292019,138.53
1,boom21-2small,qsort,1292019,122.99
1,boom21-2small,qsort,1292019,124.97
1,boom21-2small,qsort,1292019,128.94
1,boom21-2small,qsort,1292019,122.15
1,boom21-2small,qsort,1292019,122.15
1,boom21-2small,qsort,1292019,124.2
1,boom21-2small,qsort,1292019,119.3
1,boom21-2small,qsort,1292019,140.83
1,boom21-2small,qsort,1292019,138.39
1,boom21-2small,qsort,1292019,129.91
1,boom21-2small,qsort,1292019,105.42
1,boom21-2small,qsort,1292019,103.15
1,boom21-2small,qsort,1292019,105.8
1,boom21-2small,qsort,1292019,104.69
1,boom21-2small,qsort,1292019,105.29
1,boom21-2small,qsort,1292019,105.12
1,boom21-2small,qsort,1292019,108.41
1,boom21-2small,qsort,1292019,107.4
1,boom21-2small,qsort,1292019,112.59
1,boom21-2small,qsort,1292019,107.67
1,boom21-2small,qsort,1292019,109.91
1,boom21-2small,qsort,1292019,108.68
1,boom21-2small,qsort,1292019,114.04
1,boom21-2small,qsort,1292019,115.23
1,boom21-2small,qsort,1292019,109.31
1,boom21-large,qsort,1035715,159.85
1,boom21-large,qsort,1035715,162.3
1,boom21-large,qsort,1035715,164.16
1,boom21-large,qsort,1035715,177.21
1,boom21-large,qsort,1035715,171.25
1,boom21-large,qsort,1035715,170.55
1,boom21-large,qsort,1035715,161.32
1,boom21-large,qsort,1035715,190.55
1,boom21-large,qsort,1035715,164.18
1,boom21-large,qsort,1035715,212.44
1,boom21-large,qsort,1035715,170.53
1,boom21-large,qsort,1035715,176.74
1,boom21-large,qsort,1035715,209.25
1,boom21-large,qsort,1035715,200.28
1,boom21-large,qsort,1035715,189.26
1,boom21-large,qsort,1035715,178.17
1,boom21-large,qsort,1035715,189.79
1,boom21-large,qsort,1035715,198.5
1,boom21-large,qsort,1035715,192.86
1,boom21-large,qsort,1035715,207.28
1,boom21-large,qsort,1035715,266.1
1,boom21-large,qsort,1035715,183.25
1,boom21-large,qsort,1035715,213.43
1,boom21-large,qsort,1035715,257.79
1,boom21-large,qsort,1035715,194.86
1,boom21-large,qsort,1035715,247.96
1,boom21-large,qsort,1035715,197.35
1,boom21-large,qsort,1035715,242.13
1,boom21-large,qsort,1035715,123.4
1,boom21-large,qsort,1035715,119.89
1,boom21-large,qsort,1035715,124.03
1,boom21-large,qsort,1035715,129.09
1,boom21-large,qsort,1035715,121.76
1,boom21-large,qsort,1035715,124.08
1,boom21-large,qsort,1035715,125.54
1,boom21-large,qsort,1035715,142.21
1,boom21-large,qsort,1035715,139.1
1,boom21-large,qsort,1035715,139.37
1,boom21-large,qsort,1035715,138.51
1,boom21-large,qsort,1035715,141.12
1,boom21-large,qsort,1035715,140.54
1,boom21-large,qsort,1035715,141.42
1,boom21-large,qsort,1035715,134.41
1,boom21-small,memcpy,7942319,348.64
1,boom21-small,memcpy,7942319,346.97
1,boom21-small,memcpy,7942319,341.69
1,boom21-small,memcpy,7942319,341.79
1,boom21-small,memcpy,7942319,344.12
1,boom21-small,memcpy,7942319,346.73
1,boom21-small,memcpy,7942319,351.11
1,boom21-small,memcpy,7942319,343.25
1,boom21-small,memcpy,7942319,350.07
1,boom21-small,memcpy,7942319,343.21
1,boom21-small,memcpy,7942319,347.97
1,boom21-small,memcpy,7942319,337.63
1,boom21-small,memcpy,7942319,369.51
1,boom21-small,memcpy,7942319,366.98
1,boom21-small,memcpy,7942319,348.96
1,boom21-small,memcpy,7942319,425.38
1,boom21-small,memcpy,7942319,371.6
1,boom21-small,memcpy,7942319,520.39
1,boom21-small,memcpy,7942319,365.43
1,boom21-small,memcpy,7942319,344.86
1,boom21-small,memcpy,7942319,349.04
1,boom21-small,memcpy,7942319,378.72
1,boom21-small,memcpy,7942319,364.74
1,boom21-small,memcpy,7942319,399.77
1,boom21-small,memcpy,7942319,350.61
1,boom21-small,memcpy,7942319,378.53
1,boom21-small,memcpy,7942319,357.44
1,boom21-small,memcpy,7942319,343.99
1,boom21-small,memcpy,7942319,323.84
1,boom21-small,memcpy,7942319,330.35
1,boom21-small,memcpy,7942319,330.36
1,boom21-small,memcpy,7942319,332.08
1,boom21-small,memcpy,7942319,329.74
1,boom21-small,memcpy,7942319,326.49
1,boom21-small,memcpy,7942319,332.77
1,boom21-small,memcpy,7942319,333.93
1,boom21-small,memcpy,7942319,336.09
1,boom21-small,memcpy,7942319,338.83
1,boom21-small,memcpy,7942319,339.17
1,boom21-small,memcpy,7942319,356.75
1,boom21-small,memcpy,7942319,332.49
1,boom21-small,memcpy,7942319,338.42
1,boom21-small,memcpy,7942319,339.95
1,boom21-small,qsort,1287415,66.19
1,boom21-small,qsort,1287415,63.1
1,boom21-small,qsort,1287415,65.21
1,boom21-small,qsort,1287415,66.78
1,boom21-small,qsort,1287415,63.38
1,boom21-small,qsort,1287415,64.86
1,boom21-small,qsort,1287415,64.69
1,boom21-small,qsort,1287415,67.8
1,boom21-small,qsort,1287415,66.32
